Aba, Abia 	 5.1167 , 7.3667 	 5.1166666666667 , 7.3666666666667
FIXED for  Franca 	 -20.538888888889 , -47.400833333333 	 -20.538888888889 , -47.400833333333
FIXED for  Frankfort, Free State 	 -27.283333333333 , 28.516666666667 	 -27.283333333333 , 28.516666666667
FIXED for  Frankfort, Illinois 	 41.4981 , -87.8494 	 41.4981 , -87.8494
FIXED for  Frankfort, Indiana 	 40.2822 , -86.5114 	 40.2822 , -86.5114
FIXED for  Frankfort, Maine 	 44.609722222222 , -68.876666666667 	 44.609722222222 , -68.876666666667
FIXED for  Franklin County, Alabama 	 34.433333333333 , -87.85 	 34.433333333333 , -87.85
FIXED for  Franklin County, Arkansas 	 35.520833333333 , -93.875833333333 	 35.520833333333 , -93.875833333333
FIXED for  Franklin County, Florida 	 29.8 , -84.82 	 29.8 , -84.82
FIXED for  Franklin County, Georgia 	 34.37 , -83.23 	 34.37 , -83.23
FIXED for  Franklin County, Indiana 	 39.42 , -85.06 	 39.42 , -85.06
FIXED for  Franklin County, Iowa 	 42.730833333333 , -93.2675 	 42.730833333333 , -93.2675
FIXED for  Franklin County, Kansas 	 38.5833 , -95.2833 	 38.5833 , -95.2833
FIXED for  Franklin County, Kentucky 	 38.24 , -84.88 	 38.24 , -84.88
FIXED for  Franklin County, Massachusetts 	 42.58707 , -72.573944 	 42.58707 , -72.573944
FIXED for  Franklin County, Mississippi 	 31.48 , -90.9 	 31.48 , -90.9
FIXED for  Franklin County, Missouri 	 38.41 , -91.08 	 38.41 , -91.08
FIXED for  Franklin County, New York 	 44.6 , -74.31 	 44.6 , -74.31
FIXED for  Franklin County, North Carolina 	 36.08 , -78.28 	 36.08 , -78.28
FIXED for  Franklin County, Ohio 	 39.97 , -83.01 	 39.97 , -83.01
FIXED for  Franklin County, Pennsylvania 	 39.93 , -77.72 	 39.93 , -77.72
FIXED for  Franklin County, Tennessee 	 35.15 , -86.1 	 35.15 , -86.1
FIXED for  Franklin County, Texas 	 33.18 , -95.22 	 33.18 , -95.22
FIXED for  Franklin County, Vermont 	 44.865131 , -72.962906 	 44.865131 , -72.962906
FIXED for  Franklin County, Virginia 	 36.99 , -79.88 	 36.99 , -79.88
FIXED for  Franklin County, Washington 	 46.54 , -118.9 	 46.54 , -118.9
FIXED for  Franklin, Franklin County, New York 	 44.519166666667 , -74.060555555556 	 44.519166666667 , -74.060555555556
FIXED for  Franklin, Idaho 	 42.0161 , -111.803 	 42.0161 , -111.803
FIXED for  Franklin, Indiana 	 39.4897 , -86.0567 	 39.4897 , -86.0567
FIXED for  Franklin, Kansas 	 37.5264 , -94.7058 	 37.5264 , -94.7058
FIXED for  Franklin, Kentucky 	 36.7225 , -86.5775 	 36.7225 , -86.5775
FIXED for  Franklin, Louisiana 	 29.7917 , -91.5083 	 29.7917 , -91.5083
FIXED for  Franklin, Massachusetts 	 42.083333333333 , -71.4 	 42.083333333333 , -71.4
FIXED for  Franklin, Michigan 	 42.52 , -83.303888888889 	 42.52 , -83.303888888889
FIXED for  Franklin, Missouri 	 39.0114 , -92.7536 	 39.0114 , -92.7536
FIXED for  Franklin, New Hampshire 	 43.4442 , -71.6475 	 43.4442 , -71.6475
FIXED for  Franklin, New Jersey 	 41.109 , -74.5886 	 41.109 , -74.5886
FIXED for  Franklin, North Carolina 	 35.1811 , -83.3817 	 35.1811 , -83.3817
FIXED for  Franklin, Ohio 	 39.5614 , -84.3017 	 39.5614 , -84.3017
FIXED for  Franklin, Pennsylvania 	 41.3978 , -79.8314 	 41.3978 , -79.8314
FIXED for  Franklin, Quebec 	 45.0333 , -73.9167 	 45.0333 , -73.9167
FIXED for  Franklin, Tennessee 	 35.929166666667 , -86.8575 	 35.929166666667 , -86.8575
FIXED for  Franklin, Texas 	 31.0261 , -96.4861 	 31.0261 , -96.4861
FIXED for  Franklin, West Virginia 	 38.64289 , -79.33115 	 38.64289 , -79.33115
FIXED for  Fremont, Indiana 	 41.73088 , -84.93274 	 41.73088 , -84.93274
FIXED for  Fremont, Michigan 	 43.4675 , -85.941944444444 	 43.4675 , -85.941944444444
FIXED for  Fremont, Missouri 	 36.95227 , -91.1643 	 36.95227 , -91.1643
FIXED for  Fremont, Nebraska 	 41.439722222222 , -96.49 	 41.439722222222 , -96.49
FIXED for  Fremont, New Hampshire 	 42.990833333333 , -71.1425 	 42.990833333333 , -71.1425
FIXED for  Fremont, North Carolina 	 35.54544 , -77.97471 	 35.54544 , -77.97471
FIXED for  Fremont, Ohio 	 41.3489 , -83.1172 	 41.3489 , -83.1172
FIXED for  Fremont, Sullivan County, New York 	 41.860555555556 , -75.040277777778 	 41.860555555556 , -75.040277777778
FIXED for  Fremont, Wisconsin 	 44.261944444444 , -88.87 	 44.261944444444 , -88.87
FIXED for  Fremont, Yolo County, California 	 38.67666667 , -121.635 	 38.67666667 , -121.635
FIXED for  Fresno, Texas 	 29.5267 , -95.4597 	 29.5267 , -95.4597
FIXED for  Fullerton, California 	 33.88 , -117.92861111111 	 33.88 , -117.92861111111
FIXED for  Fullerton, Maryland 	 39.3717 , -76.5111 	 39.3717 , -76.5111
FIXED for  Fullerton, Nebraska 	 41.363055555556 , -97.970833333333 	 41.363055555556 , -97.970833333333
FIXED for  Fullerton, Pennsylvania 	 40.6314 , -75.4803 	 40.6314 , -75.4803
FIXED for  Furna 	 46.92518 , 9.66368 	 46.92518 , 9.66368
FIXED for  Fuxin 	 42.012669 , 121.648553 	 42.012669 , 121.648553
FIXED for  Gabon 	 -0.68333055555556 , 11.5 	 -0.68333055555556 , 11.5
FIXED for  Galata 	 41.022777777778 , 28.973611111111 	 41.022777777778 , 28.973611111111
FIXED for  Galma 	 31.6 , 76.86666667 	 31.6 , 76.86666667
FIXED for  Galong, New South Wales 	 -34.6 , 148.55 	 -34.6 , 148.55
FIXED for  Gamba, Gabon 	 -2.725 , 10.016666666667 	 -2.725 , 10.016666666667
FIXED for  Gambir, Jakarta 	 -6.176111 , 106.821667 	 -6.176111 , 106.821667
FIXED for  Gamboa, Panama 	 9.11666667 , -79.7 	 9.11666667 , -79.7
FIXED for  Ganta 	 7.2375 , -8.9813888888889 	 7.2375 , -8.9813888888889
FIXED for  Gaoping 	 35.79114 , 112.92589 	 35.79114 , 112.92589
FIXED for  Gaoqiao, Shanghai 	 31.34519 , 121.57114 	 31.34519 , 121.57114
FIXED for  Gap, Hautes-Alpes 	 44.558611111111 , 6.0777777777778 	 44.558611111111 , 6.0777777777778
FIXED for  Gap, Pennsylvania 	 39.98736 , -76.019254 	 39.98736 , -76.019254
FIXED for  Garden City, Cairo 	 30.0353 , 31.2311 	 30.0353 , 31.2311
FIXED for  Garden City, Colorado 	 40.39387 , -104.68941 	 40.39387 , -104.68941
FIXED for  Garden City, Georgia 	 32.1003 , -81.165 	 32.1003 , -81.165
FIXED for  Garden City, Kansas 	 37.9753 , -100.864 	 37.9753 , -100.864
FIXED for  Garden City, Michigan 	 42.324444444444 , -83.338333333333 	 42.324444444444 , -83.338333333333
FIXED for  Garden City, New York 	 40.7269 , -73.6497 	 40.7269 , -73.6497
FIXED for  Garden City, South Carolina 	 33.587777777778 , -79.005277777778 	 33.587777777778 , -79.005277777778
FIXED for  Garden City, Texas 	 31.863888888889 , -101.48111111111 	 31.863888888889 , -101.48111111111
FIXED for  Garita, New Mexico 	 35.3881 , -104.459 	 35.3881 , -104.459
FIXED for  Garland, Nebraska 	 40.945555555556 , -96.985833333333 	 40.945555555556 , -96.985833333333
FIXED for  Garland, North Carolina 	 34.78628 , -78.39417 	 34.78628 , -78.39417
FIXED for  Garland, Texas 	 32.906944 , -96.635 	 32.906944 , -96.635
FIXED for  Garland, Utah 	 41.732777777778 , -112.16166666667 	 41.732777777778 , -112.16166666667
FIXED for  Gedi, Kutch 	 23.709924 , 70.739765 	 23.709924 , 70.739765
FIXED for  Gela 	 37.066666666667 , 14.25 	 37.066666666667 , 14.25
FIXED for  Geneva 	 46.2 , 6.15 	 46.2 , 6.15
FIXED for  Geneva, Florida 	 28.737222222222 , -81.117777777778 	 28.737222222222 , -81.117777777778
FIXED for  Geneva, Illinois 	 41.89 , -88.31 	 41.89 , -88.31
FIXED for  Geneva, Kansas 	 38.016944444444 , -95.494166666667 	 38.016944444444 , -95.494166666667
FIXED for  Geneva, New York 	 42.878888888889 , -76.993055555556 	 42.878888888889 , -76.993055555556
FIXED for  Geneva, Ohio 	 41.805 , -80.9481 	 41.805 , -80.9481
FIXED for  Geneva, Wisconsin 	 42.611944444444 , -88.488333333333 	 42.611944444444 , -88.488333333333
FIXED for  Georgetown, Ascension Island 	 -7.9286111111111 , -14.411666666667 	 -7.9286111111111 , -14.411666666667
FIXED for  Georgetown, California 	 38.906944444444 , -120.83861111111 	 38.906944444444 , -120.83861111111
FIXED for  George Town, Cayman Islands 	 19.2866 , -81.37436 	 19.2866 , -81.37436
FIXED for  Georgetown, Chatham County, Georgia 	 31.979612 , -81.232118 	 31.979612 , -81.232118
FIXED for  George Town, Chennai 	 13.0939 , 80.2839 	 13.0939 , 80.2839
FIXED for  Georgetown, Colorado 	 39.7061 , -105.6975 	 39.7061 , -105.6975
FIXED for  Georgetown, Connecticut 	 41.255555555556 , -73.434722222222 	 41.255555555556 , -73.434722222222
FIXED for  Georgetown, Delaware 	 38.69011 , -75.38547 	 38.69011 , -75.38547
FIXED for  Georgetown, Floyd County, Indiana 	 38.29451 , -85.97552 	 38.29451 , -85.97552
FIXED for  Georgetown, Guyana 	 6.7833333333333 , -58.166666666667 	 6.7833333333333 , -58.166666666667
FIXED for  Georgetown, Illinois 	 39.978611111111 , -87.636111111111 	 39.978611111111 , -87.636111111111
FIXED for  Georgetown, Kentucky 	 38.2097 , -84.56 	 38.2097 , -84.56
FIXED for  Georgetown, Maine 	 43.810555555556 , -69.743333333333 	 43.810555555556 , -69.743333333333
FIXED for  Georgetown, Massachusetts 	 42.725 , -70.991666666667 	 42.725 , -70.991666666667
FIXED for  Georgetown, Mississippi 	 31.87155 , -90.16453 	 31.87155 , -90.16453
FIXED for  Georgetown, Ohio 	 38.86451 , -83.90409 	 38.86451 , -83.90409
FIXED for  Georgetown, Ontario 	 43.646944444444 , -79.91 	 43.646944444444 , -79.91
FIXED for  George Town, Penang 	 5.4145 , 100.3292 	 5.4145 , 100.3292
FIXED for  Georgetown, Polk County, Wisconsin 	 45.511944444444 , -92.346388888889 	 45.511944444444 , -92.346388888889
FIXED for  Georgetown, Prince Edward Island 	 46.1845 , -62.5339 	 46.1845 , -62.5339
FIXED for  Georgetown, Queensland 	 -18.3 , 143.55 	 -18.3 , 143.55
FIXED for  Georgetown, Quitman County, Georgia 	 31.883998 , -85.101488 	 31.883998 , -85.101488
FIXED for  Georgetown, South Carolina 	 33.3675 , -79.293888888889 	 33.3675 , -79.293888888889
FIXED for  George Town, Tasmania 	 -41.1 , 146.81666666667 	 -41.1 , 146.81666666667
FIXED for  Georgetown, Texas 	 30.6511 , -97.6814 	 30.6511 , -97.6814
FIXED for  Gerona, Tarlac 	 15.6 , 120.6 	 15.6 , 120.6
FIXED for  Gesha 	 7.66667 , 35.8333 	 7.66667 , 35.8333
FIXED for  Gibraltar 	 36.13775 , -5.3453611111111 	 36.13775 , -5.3453611111111
FIXED for  Gilbert, Arizona 	 33.35 , -111.78916666667 	 33.35 , -111.78916666667
FIXED for  Gilbert, Arkansas 	 35.991111111111 , -92.716111111111 	 35.991111111111 , -92.716111111111
FIXED for  Gilbert, Iowa 	 42.1058 , -93.6453 	 42.1058 , -93.6453
FIXED for  Gilbert, Louisiana 	 32.0497 , -91.66 	 32.0497 , -91.66
FIXED for  Gilbert, Minnesota 	 47.488888888889 , -92.465 	 47.488888888889 , -92.465
FIXED for  Gilbert, South Carolina 	 33.92431 , -81.39371 	 33.92431 , -81.39371
FIXED for  Gladstone, Michigan 	 45.852777777778 , -87.021666666667 	 45.852777777778 , -87.021666666667
FIXED for  Gladstone, Missouri 	 39.2117 , -94.5617 	 39.2117 , -94.5617
FIXED for  Gladstone, Oregon 	 45.381111111111 , -122.59305555556 	 45.381111111111 , -122.59305555556
FIXED for  Gladstone, Queensland 	 -23.843611111111 , 151.25194444444 	 -23.843611111111 , 151.25194444444
FIXED for  Gladstone, South Australia 	 -33.2667 , 138.35 	 -33.2667 , 138.35
FIXED for  Glasgow 	 55.87 , -4.27 	 55.87 , -4.27
FIXED for  Glasgow, Kentucky 	 37.0003 , -85.9203 	 37.0003 , -85.9203
FIXED for  Glasgow, Missouri 	 39.2267 , -92.8436 	 39.2267 , -92.8436
FIXED for  Glasgow, Montana 	 48.195 , -106.63611111111 	 48.195 , -106.63611111111
FIXED for  Glasgow, Oregon 	 43.4346 , -124.211 	 43.4346 , -124.211
FIXED for  Glendale, Arizona 	 33.583333333333 , -112.2 	 33.583333333333 , -112.2
FIXED for  Glendale, Calgary 	 51.0331 , -114.153 	 51.0331 , -114.153
FIXED for  Glendale, California 	 34.170833333333 , -118.25 	 34.170833333333 , -118.25
FIXED for  Glendale, Colorado 	 39.7025 , -104.934 	 39.7025 , -104.934
FIXED for  Glendale, Kentucky 	 37.6017 , -85.9056 	 37.6017 , -85.9056
FIXED for  Glendale, Ohio 	 39.2714 , -84.4639 	 39.2714 , -84.4639
FIXED for  Glendale, Skye 	 57.4476 , -6.71077 	 57.4476 , -6.71077
FIXED for  Glendale, Utah 	 37.31776 , -112.59715 	 37.31776 , -112.59715
FIXED for  Glendale, Wisconsin 	 43.13 , -87.927777777778 	 43.13 , -87.927777777778
FIXED for  Gloria, Oriental Mindoro 	 12.916666666667 , 121.46666666667 	 12.916666666667 , 121.46666666667
FIXED for  Gloucester 	 51.864444444444 , -2.2444444444444 	 51.864444444444 , -2.2444444444444
FIXED for  Gloucester, Massachusetts 	 42.616666666667 , -70.666666666667 	 42.616666666667 , -70.666666666667
FIXED for  Gloucester, New South Wales 	 -32.009444444444 , 151.96027777778 	 -32.009444444444 , 151.96027777778
FIXED for  Gloucester, Ontario 	 45.435277777778 , -75.609166666667 	 45.435277777778 , -75.609166666667
FIXED for  Goa 	 15.401944 , 74.043333 	 15.401944 , 74.043333
FIXED for  Goa, Camarines Sur 	 13.7 , 123.5 	 13.7 , 123.5
FIXED for  Gol Gol, New South Wales 	 -34.166666666667 , 142.21666666667 	 -34.166666666667 , 142.21666666667
FIXED for  Golovin, Alaska 	 64.544444444444 , -163.02777777778 	 64.544444444444 , -163.02777777778
FIXED for  Goma 	 -1.69 , 29.22 	 -1.69 , 29.22
FIXED for  Gondar 	 12.6 , 37.466666666667 	 12.6 , 37.466666666667
FIXED for  Gonda, Uttar Pradesh 	 27.133333333333 , 81.933333333333 	 27.133333333333 , 81.933333333333
FIXED for  Gordon, Nebraska 	 42.806944444444 , -102.20388888889 	 42.806944444444 , -102.20388888889
FIXED for  Gordon, New South Wales 	 -33.7573 , 151.149 	 -33.7573 , 151.149
FIXED for  Gordon, Scottish Borders 	 55.68036 , -2.563244 	 55.68036 , -2.563244
FIXED for  Gordon, Victoria 	 -37.583333333333 , 144.1 	 -37.583333333333 , 144.1
FIXED for  Gore, Ethiopia 	 8.15 , 35.5167 	 8.15 , 35.5167
FIXED for  Gore, Oklahoma 	 35.52926 , -95.11718 	 35.52926 , -95.11718
FIXED for  Gori, Georgia 	 41.981061111111 , 44.110111111111 	 41.981061111111 , 44.110111111111
FIXED for  Goro, Oromia (woreda) 	 6.75 , 40.5833 	 6.75 , 40.5833
FIXED for  Goro, SNNPR (woreda) 	 8.33333 , 37.6667 	 8.33333 , 37.6667
FIXED for  Goshen, California 	 36.34722 , -119.42 	 36.34722 , -119.42
FIXED for  Goshen, Connecticut 	 41.851388888889 , -73.235833333333 	 41.851388888889 , -73.235833333333
FIXED for  Goshen, Indiana 	 41.581944444444 , -85.836666666667 	 41.581944444444 , -85.836666666667
FIXED for  Goshen, New Hampshire 	 43.301111111111 , -72.147777777778 	 43.301111111111 , -72.147777777778
FIXED for  Goshen, New Jersey 	 39.1414 , -74.8531 	 39.1414 , -74.8531
FIXED for  Goshen, New York 	 41.401666666667 , -74.326944444444 	 41.401666666667 , -74.326944444444
FIXED for  Goshen, Oregon 	 43.995555555556 , -123.01027777778 	 43.995555555556 , -123.01027777778
FIXED for  Goudi 	 37.988333333333 , 23.775833333333 	 37.988333333333 , 23.775833333333
FIXED for  Govan 	 55.8615 , -4.3083 	 55.8615 , -4.3083
FIXED for  Govan, Saskatchewan 	 51.311 , -104.995 	 51.311 , -104.995
FIXED for  Grado, Friuli-Venezia Giulia 	 45.683333 , 13.4 	 45.683333 , 13.4
FIXED for  Grafton, Illinois 	 38.97 , -90.431388888889 	 38.97 , -90.431388888889
FIXED for  Grafton, Massachusetts 	 42.20704 , -71.68562 	 42.20704 , -71.68562
FIXED for  Grafton, New Hampshire 	 43.573333333333 , -71.973888888889 	 43.573333333333 , -71.973888888889
FIXED for  Grafton, New South Wales 	 -29.683333333333 , 152.93333333333 	 -29.683333333333 , 152.93333333333
FIXED for  Grafton, New York 	 42.768888888889 , -73.450833333333 	 42.768888888889 , -73.450833333333
FIXED for  Grafton, New Zealand 	 -36.8636 , 174.764 	 -36.8636 , 174.764
FIXED for  Grafton, Ontario 	 43.9911 , -78.0239 	 43.9911 , -78.0239
FIXED for  Grafton, Utah 	 37.167222222222 , -113.08 	 37.167222222222 , -113.08
FIXED for  Grafton, Vermont 	 43.1842569 , -72.6189695 	 43.1842569 , -72.6189695
FIXED for  Grafton, West Virginia 	 39.34092 , -80.01897 	 39.34092 , -80.01897
FIXED for  Grafton, Wisconsin 	 43.3192 , -87.9317 	 43.3192 , -87.9317
FIXED for  Granada, Nicaragua 	 11.93 , -85.956111111111 	 11.93 , -85.956111111111
FIXED for  Grant County, Arkansas 	 34.294444444444 , -92.431666666667 	 34.294444444444 , -92.431666666667
FIXED for  Grant County, Indiana 	 40.52 , -85.65 	 40.52 , -85.65
FIXED for  Grant County, Kansas 	 37.5833 , -101.333 	 37.5833 , -101.333
FIXED for  Grant County, Kentucky 	 38.64 , -84.61 	 38.64 , -84.61
FIXED for  Grant County, Oklahoma 	 36.8 , -97.79 	 36.8 , -97.79
FIXED for  Grant County, Oregon 	 44.43841 , -118.89173 	 44.43841 , -118.89173
FIXED for  Grant County, Washington 	 47.21 , -119.47 	 47.21 , -119.47
FIXED for  Grant County, Wisconsin 	 42.86 , -90.71 	 42.86 , -90.71
FIXED for  Grantham, New Hampshire 	 43.48952 , -72.13759 	 43.48952 , -72.13759
FIXED for  Grantham, North Carolina 	 35.2972 , -78.1636 	 35.2972 , -78.1636
FIXED for  Grantham, Pennsylvania 	 40.156388888889 , -76.996388888889 	 40.156388888889 , -76.996388888889
FIXED for  Grantham, Queensland 	 -27.5833 , 152.2 	 -27.5833 , 152.2
FIXED for  Greene County, Arkansas 	 36.105833333333 , -90.561388888889 	 36.105833333333 , -90.561388888889
FIXED for  Greene County, Georgia 	 33.58 , -83.17 	 33.58 , -83.17
FIXED for  Greene County, Indiana 	 39.04 , -86.97 	 39.04 , -86.97
FIXED for  Greene County, Missouri 	 37.26 , -93.34 	 37.26 , -93.34
FIXED for  Greene County, New York 	 42.29 , -74.13 	 42.29 , -74.13
FIXED for  Greene County, North Carolina 	 35.49 , -77.68 	 35.49 , -77.68
FIXED for  Greene County, Pennsylvania 	 39.86 , -80.22 	 39.86 , -80.22
FIXED for  Greene County, Tennessee 	 36.17 , -82.85 	 36.17 , -82.85
FIXED for  Greenfield, Bedfordshire 	 52.0027 , -0.46576 	 52.0027 , -0.46576
FIXED for  Greenfield, California 	 36.320833333333 , -121.24388888889 	 36.320833333333 , -121.24388888889
FIXED for  Greenfield, Edmonton 	 53.472 , -113.526 	 53.472 , -113.526
FIXED for  Greenfield, Flintshire 	 53.289 , -3.21 	 53.289 , -3.21
FIXED for  Greenfield, Greater Manchester 	 53.5517 , -2.0067 	 53.5517 , -2.0067
FIXED for  Greenfield, Illinois 	 39.3431 , -90.2097 	 39.3431 , -90.2097
FIXED for  Greenfield, Iowa 	 41.305555555556 , -94.458611111111 	 41.305555555556 , -94.458611111111
FIXED for  Greenfield, Kern County, California 	 35.268888888889 , -119.00277777778 	 35.268888888889 , -119.00277777778
FIXED for  Greenfield, Massachusetts 	 42.5875 , -72.6 	 42.5875 , -72.6
FIXED for  Greenfield, Minnesota 	 45.103333333333 , -93.691388888889 	 45.103333333333 , -93.691388888889
FIXED for  Greenfield, New Hampshire 	 42.95064 , -71.8723 	 42.95064 , -71.8723
FIXED for  Greenfield, New York 	 43.103611111111 , -73.863888888889 	 43.103611111111 , -73.863888888889
FIXED for  Greenfield, Ohio 	 39.3517 , -83.3864 	 39.3517 , -83.3864
FIXED for  Greenfield, Wisconsin 	 42.963055555556 , -87.995833333333 	 42.963055555556 , -87.995833333333
FIXED for  Greenmount, Greater Manchester 	 53.6276 , -2.3308 	 53.6276 , -2.3308
FIXED for  Greenville, Alabama 	 31.831273 , -86.627567 	 31.831273 , -86.627567
FIXED for  Greenville, California 	 40.14 , -120.95138888889 	 40.14 , -120.95138888889
FIXED for  Greenville, Delaware 	 39.775 , -75.5967 	 39.775 , -75.5967
FIXED for  Greenville, Georgia 	 33.027777777778 , -84.713611111111 	 33.027777777778 , -84.713611111111
FIXED for  Greenville, Illinois 	 38.8833 , -89.4 	 38.8833 , -89.4
FIXED for  Greenville, Indiana 	 38.37256 , -85.98636 	 38.37256 , -85.98636
FIXED for  Greenville, Iowa 	 43.016111111111 , -95.145555555556 	 43.016111111111 , -95.145555555556
FIXED for  Greenville, Kentucky 	 37.207222222222 , -87.176388888889 	 37.207222222222 , -87.176388888889
FIXED for  Greenville, Liberia 	 5.0166666666667 , -9.0333333333333 	 5.0166666666667 , -9.0333333333333
FIXED for  Greenville, Maine 	 45.459444444444 , -69.590555555556 	 45.459444444444 , -69.590555555556
FIXED for  Greenville, Michigan 	 43.1775 , -85.252777777778 	 43.1775 , -85.252777777778
FIXED for  Greenville, Mississippi 	 33.3986 , -91.0483 	 33.3986 , -91.0483
FIXED for  Greenville, Missouri 	 37.1272 , -90.4483 	 37.1272 , -90.4483
FIXED for  Greenville, New Hampshire 	 42.76731 , -71.8123 	 42.76731 , -71.8123
FIXED for  Greenville, North Carolina 	 35.601666666667 , -77.3725 	 35.601666666667 , -77.3725
FIXED for  Greenville, Ohio 	 40.1025 , -84.6281 	 40.1025 , -84.6281
FIXED for  Greenville, Orange County, New York 	 41.366666666667 , -74.583333333333 	 41.366666666667 , -74.583333333333
FIXED for  Greenville, Pennsylvania 	 41.4045 , -80.39118 	 41.4045 , -80.39118
FIXED for  Greenville, Rhode Island 	 41.876666666667 , -71.553333333333 	 41.876666666667 , -71.553333333333
